#WL |a|^2+|d|^2_ln00 |b|^2+|c|^2_ln00 |a|^2+|d|^2_ln01 |b|^2+|c|^2_ln01 |a|^2+|d|^2_ln02 |b|^2+|c|^2_ln02 |a|^2+|d|^2_ln10 |b|^2+|c|^2_ln10 |a|^2+|d|^2_ln11 |b|^2+|c|^2_ln11 |a|^2+|d|^2_ln12 |b|^2+|c|^2_ln12 |a|^2+|d|^2_ln20 |b|^2+|c|^2_ln20 |a|^2+|d|^2_ln21 |b|^2+|c|^2_ln21 |a|^2+|d|^2_ln22 |b|^2+|c|^2_ln22 |a|^2+|d|^2_ln30 |b|^2+|c|^2_ln30 |a|^2+|d|^2_ln31 |b|^2+|c|^2_ln31 |a|^2+|d|^2_ln32 |b|^2+|c|^2_ln32 
# |a|+|d|400.000000 0.317299 0.388654 0.027069 0.242066 0.003778 0.009534 1.387456 2.920166 1.554898 15.272500 2.124936 4.960141 1.323252 0.626370 0.102308 0.319801 0.012231 0.011560 1.468645 1.151240 1.008374 1.001136 1.000014 1.000006
400.500000 0.324833 0.405565 0.028245 0.235044 0.004149 0.009672 1.378479 3.013734 1.559188 14.494238 2.217719 4.860917 1.306282 0.651681 0.103205 0.309908 0.013004 0.011712 1.468503 1.152636 1.008181 1.001036 1.000014 1.000006
401.000000 0.332970 0.424164 0.029525 0.228275 0.004558 0.009828 1.370869 3.117057 1.565811 13.756611 2.315124 4.770548 1.290870 0.679575 0.104273 0.300395 0.013830 0.011885 1.468156 1.154123 1.007991 1.000947 1.000014 1.000006
401.500000 0.341528 0.444308 0.030899 0.221689 0.004999 0.009999 1.364119 3.229032 1.574330 13.056591 2.412707 4.688163 1.276513 0.709812 0.105478 0.291168 0.014684 0.012076 1.467557 1.155669 1.007804 1.000870 1.000014 1.000006
402.000000 0.350418 0.465890 0.032360 0.215281 0.005463 0.010183 1.357957 3.348703 1.584373 12.393356 2.505856 4.612621 1.262949 0.742208 0.106795 0.282223 0.015536 0.012282 1.466692 1.157248 1.007621 1.000805 1.000015 1.000007
402.500000 0.359518 0.488712 0.033899 0.209056 0.005935 0.010376 1.352117 3.474619 1.595521 11.766911 2.588942 4.542915 1.249931 0.776444 0.108194 0.273564 0.016347 0.012500 1.465550 1.158825 1.007442 1.000750 1.000015 1.000007
403.000000 0.368706 0.512451 0.035501 0.203006 0.006395 0.010574 1.346273 3.604424 1.607199 11.175695 2.655123 4.477342 1.237156 0.812007 0.109636 0.265182 0.017070 0.012724 1.464121 1.160355 1.007269 1.000706 1.000015 1.000007
403.500000 0.377981 0.537220 0.037175 0.197122 0.006833 0.010780 1.340358 3.738724 1.619524 10.616708 2.701561 4.415821 1.224493 0.849048 0.111128 0.257056 0.017680 0.012956 1.462422 1.161838 1.007100 1.000670 1.000015 1.000007
404.000000 0.387377 0.563172 0.038934 0.191380 0.007236 0.010993 1.334295 3.878232 1.632634 10.085940 2.725490 4.357995 1.211805 0.887782 0.112681 0.249152 0.018154 0.013198 1.460460 1.163273 1.006935 1.000642 1.000016 1.000007
404.500000 0.396920 0.590459 0.040793 0.185766 0.007593 0.011217 1.328027 4.023643 1.646683 9.580375 2.724516 4.303713 1.198980 0.928414 0.114310 0.241443 0.018470 0.013451 1.458235 1.164658 1.006773 1.000621 1.000016 1.000007
405.000000 0.406647 0.619289 0.042777 0.180217 0.007887 0.011454 1.321332 4.175731 1.661860 9.094050 2.695627 4.252412 1.185721 0.971220 0.116033 0.233844 0.018600 0.013720 1.455715 1.165980 1.006614 1.000605 1.000016 1.000008
405.500000 0.416628 0.649940 0.044908 0.174767 0.008111 0.011707 1.314386 4.336031 1.678544 8.627873 2.639571 4.204858 1.172171 1.016602 0.117878 0.226394 0.018540 0.014007 1.452920 1.167237 1.006456 1.000595 1.000017 1.000008
406.000000 0.426971 0.682664 0.047206 0.169469 0.008262 0.011979 1.307453 4.505801 1.697024 8.183644 2.558940 4.161492 1.158586 1.064932 0.119867 0.219162 0.018298 0.014316 1.449884 1.168429 1.006301 1.000590 1.000017 1.000008
406.500000 0.437772 0.717613 0.049679 0.164416 0.008344 0.012271 1.300959 4.685889 1.717468 7.765964 2.459206 4.123016 1.145429 1.116449 0.122012 0.212271 0.017903 0.014649 1.446675 1.169554 1.006148 1.000588 1.000017 1.000008
407.000000 0.449169 0.755014 0.052340 0.159683 0.008368 0.012585 1.295325 4.877508 1.740021 7.377603 2.346904 4.089793 1.133148 1.171516 0.124328 0.205819 0.017393 0.015007 1.443366 1.170626 1.005997 1.000588 1.000017 1.000009
407.500000 0.461237 0.795097 0.055189 0.155328 0.008348 0.012921 1.290930 5.082115 1.764803 7.021017 2.228833 4.062533 1.122154 1.230507 0.126821 0.199881 0.016813 0.015391 1.440036 1.171666 1.005848 1.000591 1.000017 1.000009
408.000000 0.474061 0.838170 0.058231 0.151380 0.008299 0.013280 1.288043 5.301498 1.791894 6.696371 2.110455 4.041544 1.112731 1.293914 0.129497 0.194494 0.016200 0.015802 1.436747 1.172702 1.005703 1.000596 1.000017 1.000009
408.500000 0.487670 0.884518 0.061475 0.147819 0.008229 0.013663 1.286700 5.537165 1.821325 6.401455 1.994751 4.026840 1.104907 1.362172 0.132361 0.189632 0.015576 0.016240 1.433524 1.173751 1.005559 1.000601 1.000017 1.000009
409.000000 0.502099 0.934475 0.064939 0.144599 0.008144 0.014070 1.286784 5.790628 1.853161 6.132278 1.882733 4.018089 1.098540 1.435769 0.135420 0.185228 0.014952 0.016708 1.430363 1.174815 1.005418 1.000607 1.000017 1.000010
409.500000 0.517268 0.988130 0.068634 0.141649 0.008040 0.014504 1.287979 6.061916 1.887392 5.884469 1.773885 4.014963 1.093278 1.514790 0.138675 0.181190 0.014323 0.017207 1.427225 1.175861 1.005280 1.000614 1.000017 1.000010
410.000000 0.533182 1.045732 0.072590 0.138918 0.007919 0.014966 1.290086 6.351859 1.924163 5.654411 1.668100 4.017251 1.088888 1.599566 0.142140 0.177448 0.013692 0.017738 1.424080 1.176860 1.005143 1.000622 1.000017 1.000010
410.500000 0.549819 1.107391 0.076827 0.136369 0.007782 0.015459 1.292939 6.660531 1.963564 5.439629 1.565543 4.024815 1.085179 1.690218 0.145823 0.173953 0.013060 0.018305 1.420908 1.177775 1.005008 1.000630 1.000016 1.000011
411.000000 0.567202 1.173204 0.081380 0.133969 0.007629 0.015984 1.296384 6.987718 2.005751 5.237655 1.466202 4.037439 1.081970 1.786835 0.149740 0.170659 0.012430 0.018910 1.417681 1.178556 1.004874 1.000640 1.000016 1.000011
411.500000 0.585284 1.242993 0.086261 0.131704 0.007464 0.016543 1.300331 7.331984 2.050721 5.047637 1.370761 4.055065 1.079172 1.889111 0.153893 0.167548 0.011807 0.019553 1.414397 1.179152 1.004743 1.000651 1.000016 1.000011
412.000000 0.604069 1.316617 0.091496 0.129561 0.007289 0.017138 1.304716 7.691973 2.098585 4.868473 1.279637 4.077653 1.076712 1.996789 0.158291 0.164603 0.011197 0.020238 1.411049 1.179511 1.004614 1.000662 1.000016 1.000012
