#       x [cm]         y [cm]         z [cm]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]  
#------------------------------------------------------------------------------------------------------------------------------------------
            0         6.6125         13.225      -0.958324   -0.000413451    8.64804e-05      0.0383506    0.000106118    3.91031e-05
            0        5.83456         13.225      -0.798559    6.10086e-05   -0.000515348      0.0746952   -0.000267221    0.000233028
            0        5.05662         13.225      -0.693828    -3.2509e-05    8.37264e-06       0.148915    4.98627e-05    3.54209e-05
            0        4.27868         13.225      -0.665435    0.000615062     0.00052335       0.235483    -7.9853e-05   -4.59603e-05
            0        3.50073         13.225      -0.696114    1.65631e-06   -1.54974e-05       0.313677   -5.84926e-06   -5.35565e-05
            0        2.72279         13.225      -0.758693    -0.00101281      0.0008134       0.373662    0.000254455   -0.000240982
            0        1.94485         13.225      -0.813662   -2.80779e-06    0.000159746       0.414187    1.62078e-05   -5.67276e-05
            0        1.16691         13.225       -0.84802    9.90867e-05   -0.000591675       0.438153    -8.3405e-05    0.000407119
            0       0.388971         13.225      -0.860667    0.000134263    0.000306776        0.44781   -4.15773e-05    -1.6879e-05
            0      -0.388971         13.225      -0.860667   -0.000134263    0.000306776        0.44781    4.15773e-05    -1.6879e-05
            0       -1.16691         13.225       -0.84802   -9.90867e-05   -0.000591675       0.438153     8.3405e-05    0.000407119
            0       -1.94485         13.225      -0.813662    2.80779e-06    0.000159746       0.414187   -1.62078e-05   -5.67276e-05
            0       -2.72279         13.225      -0.758693     0.00101281      0.0008134       0.373662   -0.000254455   -0.000240982
            0       -3.50073         13.225      -0.696114   -1.65631e-06   -1.54974e-05       0.313677    5.84926e-06   -5.35565e-05
            0       -4.27868         13.225      -0.665435   -0.000615062     0.00052335       0.235483     7.9853e-05   -4.59603e-05
            0       -5.05662         13.225      -0.693828     3.2509e-05    8.37264e-06       0.148915   -4.98627e-05    3.54209e-05
            0       -5.83456         13.225      -0.798559   -6.10086e-05   -0.000515348      0.0746952    0.000267221    0.000233028
            0        -6.6125         13.225      -0.958324    0.000413451    8.64804e-05      0.0383506   -0.000106118    3.91031e-05
            0         6.6125        12.4471      -0.278347   -0.000350825   -0.000676311      -0.957523   -0.000880314    -0.00122493
            0        5.83456        12.4471      -0.232187   -9.97072e-05   -9.21091e-05      -0.779624   -0.000447461   -0.000336486
            0        5.05662        12.4471      -0.261214    -2.5225e-05    7.37434e-06      -0.641251   -8.30389e-05   -6.31873e-05
            0        4.27868        12.4471      -0.348504    2.34846e-05    -3.7921e-05      -0.577259     4.5102e-06   -9.34361e-05
            0        3.50073        12.4471      -0.459593    0.000278372   -0.000230345      -0.580976     0.00040224   -0.000317724
            0        2.72279        12.4471      -0.558407    1.30845e-05   -4.22661e-05      -0.621277   -1.73846e-05   -0.000117304
            0        1.94485        12.4471      -0.622034   -6.21816e-05   -4.86675e-05      -0.662085   -9.83433e-05   -0.000167037
            0        1.16691        12.4471      -0.654021    0.000144181   -0.000186447      -0.692087    0.000179023    0.000179568
            0       0.388971        12.4471      -0.657786   -1.07395e-05    9.68253e-06      -0.696724   -6.62742e-05    0.000109832
            0      -0.388971        12.4471      -0.657786    1.07395e-05    9.68253e-06      -0.696724    6.62742e-05    0.000109832
            0       -1.16691        12.4471      -0.654021   -0.000144181   -0.000186447      -0.692087   -0.000179023    0.000179568
            0       -1.94485        12.4471      -0.622034    6.21816e-05   -4.86675e-05      -0.662085    9.83433e-05   -0.000167037
            0       -2.72279        12.4471      -0.558407   -1.30845e-05   -4.22661e-05      -0.621277    1.73846e-05   -0.000117304
            0       -3.50073        12.4471      -0.459593   -0.000278372   -0.000230345      -0.580976    -0.00040224   -0.000317724
            0       -4.27868        12.4471      -0.348504   -2.34846e-05    -3.7921e-05      -0.577259    -4.5102e-06   -9.34361e-05
            0       -5.05662        12.4471      -0.261214     2.5225e-05    7.37434e-06      -0.641251    8.30389e-05   -6.31873e-05
            0       -5.83456        12.4471      -0.232187    9.97072e-05   -9.21091e-05      -0.779624    0.000447461   -0.000336486
            0        -6.6125        12.4471      -0.278347    0.000350825   -0.000676311      -0.957523    0.000880314    -0.00122493
            0         6.6125        11.6691       0.871246    6.64628e-05      6.778e-05      -0.551763    4.57233e-05    6.60214e-06
            0        5.83456        11.6691       0.742752    0.000148776   -0.000361953      -0.430005   -0.000129438     0.00016032
            0        5.05662        11.6691       0.598099   -5.44853e-05    6.27293e-05      -0.395324    4.65795e-05   -7.44638e-05
            0        4.27868        11.6691       0.486504   -7.61101e-05    0.000270699      -0.456527    6.64681e-05   -0.000242609
            0        3.50073        11.6691       0.424151   -0.000127936    0.000210943       -0.57098    0.000145412    -0.00019148
            0        2.72279        11.6691       0.409439   -3.17626e-05    1.10314e-05      -0.686627   -1.46219e-05    2.58203e-05
            0        1.94485        11.6691        0.42755   -0.000108784      6.562e-06      -0.768892    0.000189955   -3.74548e-05
            0        1.16691        11.6691       0.455359     3.5414e-05    0.000106036       -0.80726   -4.43538e-05   -8.41099e-05
            0       0.388971        11.6691       0.476598   -1.31724e-05    5.44115e-05      -0.821975    0.000171859   -0.000315247
            0      -0.388971        11.6691       0.476598    1.31724e-05    5.44115e-05      -0.821975   -0.000171859   -0.000315247
            0       -1.16691        11.6691       0.455359    -3.5414e-05    0.000106036       -0.80726    4.43538e-05   -8.41099e-05
            0       -1.94485        11.6691        0.42755    0.000108784      6.562e-06      -0.768892   -0.000189955   -3.74548e-05
            0       -2.72279        11.6691       0.409439    3.17626e-05    1.10314e-05      -0.686627    1.46219e-05    2.58203e-05
            0       -3.50073        11.6691       0.424151    0.000127936    0.000210943       -0.57098   -0.000145412    -0.00019148
            0       -4.27868        11.6691       0.486504    7.61101e-05    0.000270699      -0.456527   -6.64681e-05   -0.000242609
            0       -5.05662        11.6691       0.598099    5.44853e-05    6.27293e-05      -0.395324   -4.65795e-05   -7.44638e-05
            0       -5.83456        11.6691       0.742752   -0.000148776   -0.000361953      -0.430005    0.000129438     0.00016032
            0        -6.6125        11.6691       0.871246   -6.64628e-05      6.778e-05      -0.551763   -4.57233e-05    6.60214e-06
            0         6.6125        10.8912        0.78852    0.000133478    0.000856101       0.705494    0.000246235    0.000219742
            0        5.83456        10.8912       0.619479   -0.000193479    0.000161138       0.642923   -0.000221291    0.000110367
            0        5.05662        10.8912       0.523505    3.14339e-05   -0.000591579       0.519606    1.38913e-06   -0.000367389
            0        4.27868        10.8912       0.531501   -2.70877e-05    0.000167363       0.381425   -1.90388e-05    5.07842e-05
            0        3.50073        10.8912       0.615729    0.000125944   -0.000396672       0.271135    8.09719e-05   -0.000307831
            0        2.72279        10.8912       0.724041   -5.12299e-05    0.000106067       0.209856     -1.125e-05    1.16769e-05
            0        1.94485        10.8912       0.821106   -0.000250764   -0.000209961       0.197945   -8.09215e-06   -0.000179332
            0        1.16691        10.8912       0.884877    1.37286e-05   -7.05117e-05         0.2138    1.63933e-05   -0.000168169
            0       0.388971        10.8912       0.910341   -0.000130499   -0.000160869       0.228977   -2.41674e-05   -4.17928e-05
            0      -0.388971        10.8912       0.910341    0.000130499   -0.000160869       0.228977    2.41674e-05   -4.17928e-05
            0       -1.16691        10.8912       0.884877   -1.37286e-05   -7.05117e-05         0.2138   -1.63933e-05   -0.000168169
            0       -1.94485        10.8912       0.821106    0.000250764   -0.000209961       0.197945    8.09215e-06   -0.000179332
            0       -2.72279        10.8912       0.724041    5.12299e-05    0.000106067       0.209856      1.125e-05    1.16769e-05
            0       -3.50073        10.8912       0.615729   -0.000125944   -0.000396672       0.271135   -8.09719e-05   -0.000307831
            0       -4.27868        10.8912       0.531501    2.70877e-05    0.000167363       0.381425    1.90388e-05    5.07842e-05
            0       -5.05662        10.8912       0.523505   -3.14339e-05   -0.000591579       0.519606   -1.38913e-06   -0.000367389
            0       -5.83456        10.8912       0.619479    0.000193479    0.000161138       0.642923    0.000221291    0.000110367
            0        -6.6125        10.8912        0.78852   -0.000133478    0.000856101       0.705494   -0.000246235    0.000219742
            0         6.6125        10.1132      -0.470072    -0.00035051     0.00012224       0.999641    0.000392927     2.3541e-05
            0        5.83456        10.1132      -0.504055    3.51743e-05   -3.25817e-05       0.814904   -0.000133984    0.000228712
            0        5.05662        10.1132      -0.430792   -8.47399e-05    1.08683e-05       0.665668    8.81832e-05   -0.000169572
            0        4.27868        10.1132      -0.280888   -4.59493e-05   -1.44243e-05       0.608369     9.8462e-05    1.88278e-05
            0        3.50073        10.1132      -0.122568    0.000173226    0.000236493       0.644761    -0.00038448   -9.52656e-05
            0        2.72279        10.1132    -0.00762288    2.64972e-05   -3.86876e-05       0.731689    -0.00036332     8.4197e-05
            0        1.94485        10.1132       0.045485   -1.57319e-05    2.37354e-06       0.824767   -2.12557e-05   -6.17253e-05
